case,stat,degree,alpha,r2_value
cloud_timesteps,mean,5,0.04470661773170027,0.8627123465007578
cloud_timesteps,mean,5,0.05336971597816022,0.8566072766047391
cloud_timesteps,mean,5,0.0637115203096614,0.8492600494474868
cloud_timesteps,mean,5,0.0760573247537887,0.8404173410915892
cloud_timesteps,mean,5,0.09079545772236218,0.8297801333878413
cloud_timesteps,mean,5,0.10838949660272666,0.8170106390440619
cloud_timesteps,mean,5,0.12939284925152128,0.8017295647701701
cloud_timesteps,mean,5,0.15446616104134347,0.7835235775065323
cloud_timesteps,mean,5,0.18439809498645623,0.7619622181164387
cloud_timesteps,mean,5,0.22013013857147148,0.7366153603608019
cloud_timesteps,mean,5,0.26278621756398485,0.7070858217655609
cloud_timesteps,mean,5,0.3137080482923729,0.6730368769456121
cloud_timesteps,mean,5,0.37449734036925936,0.6342099712743592
cloud_timesteps,mean,5,0.44706617731700243,0.5904354074843584
cloud_timesteps,mean,5,0.5336971597816021,0.5414057050891502
cloud_timesteps,mean,5,0.6371152030966143,0.48699674749508315
cloud_timesteps,mean,5,0.760573247537887,0.4336240374518641
cloud_timesteps,mean,6,0.000760573247537887,0.9881844162938362
cloud_timesteps,mean,6,0.0009079545772236219,0.987084243770405
cloud_timesteps,mean,6,0.0010838949660272655,0.985606816571915
cloud_timesteps,mean,6,0.0012939284925152128,0.9839963577724665
cloud_timesteps,mean,6,0.0015446616104134332,0.9819105444941026
cloud_timesteps,mean,6,0.0018439809498645623,0.9792359161795853
cloud_timesteps,mean,6,0.0022013013857147146,0.9762206003414466
cloud_timesteps,mean,6,0.002627862175639846,0.9730649197696746
cloud_timesteps,mean,6,0.003137080482923729,0.9707252918930077
cloud_timesteps,mean,6,0.0037449734036925936,0.9683542408368059
cloud_timesteps,mean,6,0.0044706617731700244,0.9646467498409113
cloud_timesteps,mean,6,0.005336971597816022,0.9595373746260503
cloud_timesteps,mean,6,0.006371152030966143,0.9544853792230139
cloud_timesteps,mean,6,0.0076057324753788695,0.9510665985575855
cloud_timesteps,mean,6,0.009079545772236217,0.945758105254226
cloud_timesteps,mean,6,0.010838949660272662,0.9391313625280547
cloud_timesteps,mean,6,0.012939284925152129,0.9324391714765282
cloud_timesteps,mean,6,0.01544661610413434,0.9257570951805738
cloud_timesteps,mean,6,0.018439809498645623,0.9176983229119806
cloud_timesteps,mean,6,0.022013013857147146,0.9102416236240127
cloud_timesteps,mean,6,0.026278621756398474,0.901179343165237
cloud_timesteps,mean,6,0.03137080482923729,0.8902623627197583
cloud_timesteps,mean,6,0.03744973403692594,0.8770640495371564
cloud_timesteps,mean,6,0.04470661773170027,0.8635217201025032
cloud_timesteps,mean,6,0.05336971597816022,0.8566252104444085
cloud_timesteps,mean,6,0.0637115203096614,0.8492719358772682
cloud_timesteps,mean,6,0.0760573247537887,0.8404190708406354
cloud_timesteps,mean,6,0.09079545772236218,0.8297800888656223
cloud_timesteps,mean,6,0.10838949660272666,0.8170105100726716
cloud_timesteps,mean,6,0.12939284925152128,0.8017293443506357
cloud_timesteps,mean,6,0.15446616104134347,0.7835237279718678
cloud_timesteps,mean,6,0.18439809498645623,0.7619618031243885
cloud_timesteps,mean,6,0.22013013857147148,0.7366148487166295
cloud_timesteps,mean,6,0.26278621756398485,0.7070858578124583
cloud_timesteps,mean,6,0.3137080482923729,0.6730368925211716
cloud_timesteps,mean,6,0.37449734036925936,0.6342099705717474
cloud_timesteps,mean,6,0.44706617731700243,0.5904354049371108
cloud_timesteps,mean,6,0.5336971597816021,0.5414057108451031
cloud_timesteps,mean,6,0.6371152030966143,0.4869967503515939
cloud_timesteps,mean,6,0.760573247537887,0.4336240360838504
cloud_timesteps,mean,7,0.000760573247537887,0.9880007337381261
